647cac25-44c0-35e5-88c8-8935f2660071,emission,air,5-Methylchrysene,,kg,,,,,,1.10E-11,,,,,,,,,,,4.86E-12,,8.60E-12,,,,,,,,,,,,,1.10E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675d27f1-91b6-3a26-b747-2d8f5fdfa02f,emission,air,"7,12-Dimethylbenz[a]anthracene",,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1786d5d-c7f9-3cb2-9879-cf0325b72658,emission,water,"7,12-Dimethylbenz[a]anthracene",,kg,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,,,,,,,,,,,,,,,,,
43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,emission,air,Acenaphthene,,kg,,,,,,2.55E-10,,,,,,,,,,,1.13E-10,,1.99E-10,,,,,,,,,,,,,2.55E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6432a5a-eb35-4395-9909-5d0e17296681,Emission to air,lower stratosphere + upper troposphere,Acenaphthene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34b07e52-3833-3665-aeec-01aed3f78362,emission,air,Acenaphthylene,,kg,,,,,,1.25E-10,,,,,,,,,,,5.52E-11,,9.78E-11,,,,,,,,,,,,,1.25E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a984053-85e7-4568-8003-16c12eb2aeda,Emission to air,lower stratosphere + upper troposphere,Acenaphthylene,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09dc3fe9-7e57-321f-9e04-34375bf2a0b7,emission,air,Acetaldehyde,,kg,,,,,,0.000000285,,,,,1.27E-05,,,,,,,,,,,,,,,1.15E-05,,,,,,2.85E-07,,,,,,,,,,,,,,,,,6.54E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43a7e8ef-634e-401b-92f1-32cb42f226ac,Emission to air,lower stratosphere + upper troposphere,Acetaldehyde,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031590c9-2a66-3ecc-8f20-613e5fe40c1a,emission,water,Acetone,,kg,,,,,,,3.55E-08,4.55E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-11,,,,,,,,,,,,,,,,
a765d3a1-65c6-4544-8487-b3104b937568,Emission to air,lower stratosphere + upper troposphere,Acetone,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8384736f-93e4-3edc-af93-47bdc7ef9fc7,emission,air,Acetophenone,,kg,,,,,,7.50E-09,,,,,,,,,,,,,,,,,,,,,,,,,,7.50E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26404dde-a057-4f64-a58b-6e493d2ed6d5,Emission to air,lower stratosphere + upper troposphere,Acetophenone,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
